datetime,price
2019-12-31,13.7161
2020-01-01,13.7184
2020-01-02,13.0105
2020-01-03,13.6474
2020-01-04,13.8092
2020-01-05,14.0532
2020-01-06,14.9471
2020-01-07,15.0226
2020-01-08,14.5334
2020-01-09,14.3978
2020-01-10,15.07
2020-01-11,14.9177
2020-01-12,15.3366
2020-01-13,15.1736
2020-01-14,16.6371
2020-01-15,17.6655
2020-01-16,17.0333
2020-01-17,18.0724
2020-01-18,17.8088
2020-01-19,17.388
2020-01-20,17.3235
2020-01-21,18.1166
2020-01-22,17.8344
2020-01-23,17.0524
2020-01-24,17.1148
2020-01-25,16.9555
2020-01-26,17.499
2020-01-27,17.67
2020-01-28,18.0662
2020-01-29,17.9134
2020-01-30,18.5555
2020-01-31,18.2644
2020-02-01,18.2752
2020-02-02,18.4333
2020-02-03,18.46
2020-02-04,18.1778
2020-02-05,19.262
2020-02-06,20.6675
2020-02-07,22.0555
2020-02-08,21.7888
2020-02-09,24.38
2020-02-10,25.1465
2020-02-11,25.6963
2020-02-12,26.4243
2020-02-13,25.4579
2020-02-14,26.3547
2020-02-15,24.2576
2020-02-16,23.3193
2020-02-17,23.4555
2020-02-18,24.0821
2020-02-19,22.3709
2020-02-20,22.1626
2020-02-21,22.1888
2020-02-22,21.9689
2020-02-23,22.8452
2020-02-24,22.0965
2020-02-25,20.3193
2020-02-26,18.7441
2020-02-27,19.2
2020-02-28,18.9838
2020-02-29,19.23
2020-03-01,18.902
2020-03-02,19.9289
2020-03-03,19.6882
2020-03-04,19.95
2020-03-05,20.7462
2020-03-06,21.3389
2020-03-07,20.25
2020-03-08,16.894
2020-03-09,16.5888
2020-03-10,16.8671
2020-03-11,16.5705
2020-03-12,9.2566
2020-03-13,10.9204
2020-03-14,10.1487
2020-03-15,10.3898
2020-03-16,9.4285
2020-03-17,10.2576
2020-03-18,10.3866
2020-03-19,12.2597
2020-03-20,11.9147
2020-03-21,12.1
2020-03-22,11.167
2020-03-23,12.1887
2020-03-24,12.426
2020-03-25,12.3251
2020-03-26,13.199
2020-03-27,12.3354
2020-03-28,12.1888
2020-03-29,11.3008
2020-03-30,12.1365
2020-03-31,12.5451
2020-04-01,12.72
2020-04-02,13.0166
2020-04-03,13.3615
2020-04-04,13.7606
2020-04-05,13.6888
2020-04-06,15.1989
2020-04-07,14.7266
2020-04-08,15.0888
2020-04-09,15.0096
2020-04-10,13.72
2020-04-11,13.807
2020-04-12,14.2808
2020-04-13,15.0277
2020-04-14,15.6148
2020-04-15,14.5755
2020-04-16,15.7394
2020-04-17,15.64
2020-04-18,16.6137
2020-04-19,16.0683
2020-04-20,14.9892
2020-04-21,15.1283
2020-04-22,15.7104
2020-04-23,16.034
2020-04-24,15.9319
2020-04-25,16.2283
2020-04-26,16.3588
2020-04-27,16.4229
2020-04-28,16.34
2020-04-29,17.3667
2020-04-30,16.9542
2020-05-01,17.466
2020-05-02,17.5333
2020-05-03,17.1071
2020-05-04,17.0074
2020-05-05,16.8886
2020-05-06,16.3743
2020-05-07,17.0003
2020-05-08,17.1371
2020-05-09,16.7751
2020-05-10,15.3506
2020-05-11,15.0811
2020-05-12,15.7892
2020-05-13,16.2164
2020-05-14,16.3777
2020-05-15,15.7222
2020-05-16,16.058
2020-05-17,16.2959
2020-05-18,16.6299
2020-05-19,17.2098
2020-05-20,16.8998
2020-05-21,16.0888
2020-05-22,16.5864
2020-05-23,16.48
2020-05-24,15.9624
2020-05-25,16.3807
2020-05-26,16.2159
2020-05-27,16.47
2020-05-28,17.0772
2020-05-29,17.0031
2020-05-30,17.7277
2020-05-31,17.0916
2020-06-01,17.9477
2020-06-02,17.2669
2020-06-03,17.5779
2020-06-04,17.517
2020-06-05,17.6914
2020-06-06,17.5511
2020-06-07,17.4135
2020-06-08,17.4489
2020-06-09,17.3733
2020-06-10,17.406
2020-06-11,16.2298
2020-06-12,16.6377
2020-06-13,16.8101
2020-06-14,16.5729
2020-06-15,16.377
2020-06-16,16.4329
2020-06-17,16.3983
2020-06-18,16.1608
2020-06-19,15.9512
2020-06-20,16.059
2020-06-21,15.9775
2020-06-22,16.5051
2020-06-23,16.3898
2020-06-24,15.9968
2020-06-25,15.906
2020-06-26,15.7694
2020-06-27,15.1242
2020-06-28,15.3782
2020-06-29,15.4656
2020-06-30,15.3838
2020-07-01,15.8144
2020-07-02,15.3634
2020-07-03,15.2863
2020-07-04,15.5548
2020-07-05,15.4885
2020-07-06,16.311
2020-07-07,16.8048
2020-07-08,17.2819
2020-07-09,16.8274
2020-07-10,17.3123
2020-07-11,17.6205
2020-07-12,18.2994
2020-07-13,18.4046
2020-07-14,18.079
2020-07-15,17.6351
2020-07-16,17.1647
2020-07-17,17.0676
2020-07-18,17.1507
2020-07-19,18.0154
2020-07-20,17.4645
2020-07-21,17.7285
2020-07-22,18.09
2020-07-23,18.75
2020-07-24,19.1853
2020-07-25,19.8242
2020-07-26,19.5557
2020-07-27,19.7474
2020-07-28,20.1732
2020-07-29,19.899
2020-07-30,19.97
2020-07-31,20.6615
2020-08-01,21.6168
2020-08-02,20.9898
2020-08-03,22.0504
2020-08-04,22.2818
2020-08-05,23.2728
2020-08-06,22.7487
2020-08-07,22.3323
2020-08-08,22.9234
2020-08-09,22.422
2020-08-10,22.6369
2020-08-11,21.2902
2020-08-12,21.4919
2020-08-13,21.7667
2020-08-14,23.1047
2020-08-15,23.0881
2020-08-16,23.529
2020-08-17,23.4961
2020-08-18,22.9705
2020-08-19,22.3761
2020-08-20,23.0888
2020-08-21,22.0988
2020-08-22,22.2044
2020-08-23,21.8555
2020-08-24,22.5953
2020-08-25,21.3882
2020-08-26,22.1999
2020-08-27,23.1127
2020-08-28,23.0811
2020-08-29,22.9398
2020-08-30,23.6208
2020-08-31,23.1477
2020-09-01,24.7028
2020-09-02,24.7652
2020-09-03,20.3592
2020-09-04,20.9712
2020-09-05,19.4698
2020-09-06,23.142
2020-09-07,22.4426
2020-09-08,23.2837
2020-09-09,24.4716
2020-09-10,24.5489
2020-09-11,25.399
2020-09-12,28.505
2020-09-13,31.1656
2020-09-14,31.2523
2020-09-15,27.1181
2020-09-16,27.8695
2020-09-17,27.095
2020-09-18,27.629
2020-09-19,27.2035
2020-09-20,26.316
2020-09-21,23.1232
2020-09-22,24.0468
2020-09-23,22.8331
2020-09-24,24.5745
2020-09-25,24.6924
2020-09-26,26.1998
2020-09-27,26.251
2020-09-28,26.9855
2020-09-29,28.8946
2020-09-30,29.2656
2020-10-01,27.4673
2020-10-02,27.3369
2020-10-03,28.1867
2020-10-04,28.9668
2020-10-05,28.6158
2020-10-06,27.6812
2020-10-07,27.6898
2020-10-08,27.7424
2020-10-09,28.4076
2020-10-10,28.4414
2020-10-11,28.5271
2020-10-12,30.6503
2020-10-13,30.7256
2020-10-14,30.838
2020-10-15,31.3256
2020-10-16,30.0516
2020-10-17,30.2414
2020-10-18,30.6593
2020-10-19,29.9107
2020-10-20,28.8227
2020-10-21,29.7329
2020-10-22,30.6396
2020-10-23,30.6377
2020-10-24,30.6639
2020-10-25,30.128
2020-10-26,31.0467
2020-10-27,31.4826
2020-10-28,30.3338
2020-10-29,29.8702
2020-10-30,28.4909
2020-10-31,28.5058
2020-11-01,28.5318
2020-11-02,27.7983
2020-11-03,26.8638
2020-11-04,26.96
2020-11-05,27.6875
2020-11-06,29.0435
2020-11-07,27.7651
2020-11-08,28.4101
2020-11-09,28.0941
2020-11-10,28.2188
2020-11-11,28.016
2020-11-12,27.6874
2020-11-13,28.1974
2020-11-14,27.9311
2020-11-15,27.6786
2020-11-16,27.9451
2020-11-17,28.5552
2020-11-18,28.0931
2020-11-19,28.1387
2020-11-20,28.9715
2020-11-21,30.5161
2020-11-22,30.0226
2020-11-23,30.995
2020-11-24,33.9407
2020-11-25,31.2953
2020-11-26,28.2356
2020-11-27,28.4606
2020-11-28,29.1766
2020-11-29,30.1045
2020-11-30,31.4935
2020-12-01,30.1996
2020-12-02,30.2875
2020-12-03,30.7065
2020-12-04,29.0231
2020-12-05,29.728
2020-12-06,29.5026
2020-12-07,29.37
2020-12-08,27.6705
2020-12-09,28.1452
2020-12-10,27.6926
2020-12-11,27.3419
2020-12-12,28.1603
2020-12-13,29.1571
2020-12-14,30.0338
2020-12-15,29.5053
2020-12-16,30.5577
2020-12-17,30.2255
2020-12-18,30.9882
2020-12-19,33.3167
2020-12-20,34.3148
2020-12-21,32.05
2020-12-22,33.5151
2020-12-23,31.1843
2020-12-24,32.4895
2020-12-25,33.1996
2020-12-26,33.6361
2020-12-27,33.674
2020-12-28,35.951
2020-12-29,39.0667
2020-12-30,38.1558
2020-12-31,37.3588
2021-01-01,37.7762
2021-01-02,38.2331
2021-01-03,41.2575
2021-01-04,41.1333
2021-01-05,41.8219
2021-01-06,42.2417
2021-01-07,43.5728
2021-01-08,42.356
2021-01-09,43.8479
2021-01-10,42.4031
2021-01-11,38.1674
2021-01-12,38.2541
2021-01-13,40.1114
2021-01-14,41.8723
2021-01-15,40.8668
2021-01-16,43.142
2021-01-17,45.8675
2021-01-18,45.3412
2021-01-19,42.5241
2021-01-20,42.6069
2021-01-21,38.6343
2021-01-22,40.8936
