datetime,price
2019-12-31,41.3
2020-01-01,41.62
2020-01-02,39.43
2020-01-03,42.23
2020-01-04,42.78
2020-01-05,43.3
2020-01-06,45.8
2020-01-07,46.3
2020-01-08,45.35
2020-01-09,44.74
2020-01-10,49.06
2020-01-11,49.3
2020-01-12,51.43
2020-01-13,49.6
2020-01-14,58.39
2020-01-15,58.16
2020-01-16,57.56
2020-01-17,61.02
2020-01-18,59.32
2020-01-19,57.6
2020-01-20,57.19
2020-01-21,57.57
2020-01-22,58.33
2020-01-23,54.52
2020-01-24,54.38
2020-01-25,53.25
2020-01-26,56.24
2020-01-27,58.55
2020-01-28,60.52
2020-01-29,59.8
2020-01-30,67.98
2020-01-31,68.0
2020-02-01,70.72
2020-02-02,69.93
2020-02-03,69.65
2020-02-04,68.07
2020-02-05,72.59
2020-02-06,73.6
2020-02-07,74.3
2020-02-08,76.56
2020-02-09,77.0
2020-02-10,74.02
2020-02-11,76.46
2020-02-12,81.17
2020-02-13,80.55
2020-02-14,83.14
2020-02-15,76.7
2020-02-16,74.67
2020-02-17,73.41
2020-02-18,77.25
2020-02-19,70.61
2020-02-20,69.4
2020-02-21,73.25
2020-02-22,74.79
2020-02-23,79.52
2020-02-24,75.59
2020-02-25,70.98
2020-02-26,60.53
2020-02-27,61.77
2020-02-28,59.89
2020-02-29,58.05
2020-03-01,57.7
2020-03-02,61.42
2020-03-03,61.01
2020-03-04,60.38
2020-03-05,62.06
2020-03-06,63.22
2020-03-07,60.46
2020-03-08,51.0
2020-03-09,50.39
2020-03-10,50.26
2020-03-11,48.53
2020-03-12,29.83
2020-03-13,37.52
2020-03-14,34.4
2020-03-15,36.38
2020-03-16,33.2
2020-03-17,34.07
2020-03-18,34.71
2020-03-19,38.9
2020-03-20,38.08
2020-03-21,38.32
2020-03-22,35.4
2020-03-23,38.94
2020-03-24,40.57
2020-03-25,39.17
2020-03-26,40.41
2020-03-27,38.04
2020-03-28,38.87
2020-03-29,37.11
2020-03-30,38.91
2020-03-31,39.08
2020-04-01,39.23
2020-04-02,39.86
2020-04-03,40.46
2020-04-04,40.71
2020-04-05,40.31
2020-04-06,45.04
2020-04-07,44.77
2020-04-08,46.55
2020-04-09,46.21
2020-04-10,42.25
2020-04-11,42.54
2020-04-12,42.0
2020-04-13,41.22
2020-04-14,41.22
2020-04-15,39.22
2020-04-16,42.53
2020-04-17,42.19
2020-04-18,44.14
2020-04-19,42.23
2020-04-20,40.21
2020-04-21,40.59
2020-04-22,41.8
2020-04-23,42.98
2020-04-24,44.53
2020-04-25,44.38
2020-04-26,44.52
2020-04-27,44.46
2020-04-28,45.69
2020-04-29,48.81
2020-04-30,46.33
2020-05-01,47.07
2020-05-02,49.2
2020-05-03,48.05
2020-05-04,46.96
2020-05-05,46.54
2020-05-06,44.94
2020-05-07,47.37
2020-05-08,47.69
2020-05-09,46.95
2020-05-10,42.06
2020-05-11,41.51
2020-05-12,42.18
2020-05-13,43.18
2020-05-14,43.98
2020-05-15,42.74
2020-05-16,43.25
2020-05-17,43.71
2020-05-18,45.32
2020-05-19,45.73
2020-05-20,44.25
2020-05-21,42.73
2020-05-22,44.23
2020-05-23,43.85
2020-05-24,42.08
2020-05-25,42.97
2020-05-26,42.27
2020-05-27,43.85
2020-05-28,44.77
2020-05-29,44.47
2020-05-30,47.72
2020-05-31,45.61
2020-06-01,48.25
2020-06-02,45.99
2020-06-03,47.16
2020-06-04,47.43
2020-06-05,46.83
2020-06-06,46.79
2020-06-07,46.63
2020-06-08,46.43
2020-06-09,45.87
2020-06-10,46.63
2020-06-11,43.22
2020-06-12,44.72
2020-06-13,45.08
2020-06-14,44.05
2020-06-15,43.73
2020-06-16,43.88
2020-06-17,44.07
2020-06-18,43.43
2020-06-19,42.89
2020-06-20,43.57
2020-06-21,43.0
2020-06-22,44.3
2020-06-23,44.18
2020-06-24,42.65
2020-06-25,42.35
2020-06-26,43.09
2020-06-27,41.06
2020-06-28,41.37
2020-06-29,41.87
2020-06-30,41.17
2020-07-01,41.77
2020-07-02,41.05
2020-07-03,41.14
2020-07-04,42.11
2020-07-05,41.58
2020-07-06,44.06
2020-07-07,43.39
2020-07-08,45.35
2020-07-09,44.33
2020-07-10,44.3
2020-07-11,44.69
2020-07-12,44.7
2020-07-13,43.92
2020-07-14,43.88
2020-07-15,43.33
2020-07-16,42.09
2020-07-17,41.9
2020-07-18,42.45
2020-07-19,42.64
2020-07-20,41.94
2020-07-21,43.77
2020-07-22,44.96
2020-07-23,44.94
2020-07-24,44.11
2020-07-25,49.16
2020-07-26,48.1
2020-07-27,53.28
2020-07-28,55.75
2020-07-29,55.16
2020-07-30,56.75
2020-07-31,58.13
2020-08-01,61.65
2020-08-02,56.77
2020-08-03,58.48
2020-08-04,57.61
2020-08-05,58.88
2020-08-06,59.03
2020-08-07,57.17
2020-08-08,58.46
2020-08-09,56.96
2020-08-10,58.27
2020-08-11,54.1
2020-08-12,54.52
2020-08-13,57.14
2020-08-14,56.78
2020-08-15,59.85
2020-08-16,63.87
2020-08-17,67.22
2020-08-18,65.4
2020-08-19,62.12
2020-08-20,62.8
2020-08-21,59.2
