datetime,price
2019-12-31,0.19295
2020-01-01,0.19305
2020-01-02,0.1875
2020-01-03,0.19338
2020-01-04,0.19305
2020-01-05,0.19453
2020-01-06,0.2231
2020-01-07,0.21335
2020-01-08,0.2075
2020-01-09,0.20373
2020-01-10,0.21284
2020-01-11,0.21121
2020-01-12,0.21539
2020-01-13,0.21134
2020-01-14,0.23464
2020-01-15,0.23367
2020-01-16,0.229
2020-01-17,0.23921
2020-01-18,0.24357
2020-01-19,0.23558
2020-01-20,0.23314
2020-01-21,0.23726
2020-01-22,0.23733
2020-01-23,0.22586
2020-01-24,0.22222
2020-01-25,0.21946
2020-01-26,0.23131
2020-01-27,0.23077
2020-01-28,0.23906
2020-01-29,0.23539
2020-01-30,0.24376
2020-01-31,0.23946
2020-02-01,0.24141
2020-02-02,0.25093
2020-02-03,0.25453
2020-02-04,0.26737
2020-02-05,0.27774
2020-02-06,0.28325
2020-02-07,0.27953
2020-02-08,0.27735
2020-02-09,0.28257
2020-02-10,0.27338
2020-02-11,0.281
2020-02-12,0.30427
2020-02-13,0.32709
2020-02-14,0.33594
2020-02-15,0.30729
2020-02-16,0.29224
2020-02-17,0.28736
2020-02-18,0.29827
2020-02-19,0.27466
2020-02-20,0.2709
2020-02-21,0.27418
2020-02-22,0.27468
2020-02-23,0.28298
2020-02-24,0.2704
2020-02-25,0.25209
2020-02-26,0.22915
2020-02-27,0.2385
2020-02-28,0.23663
2020-02-29,0.22892
2020-03-01,0.22696
2020-03-02,0.23958
2020-03-03,0.23428
2020-03-04,0.23453
2020-03-05,0.23909
2020-03-06,0.24477
2020-03-07,0.23622
2020-03-08,0.20385
2020-03-09,0.20952
2020-03-10,0.21185
2020-03-11,0.20813
2020-03-12,0.13549
2020-03-13,0.15872
2020-03-14,0.14588
2020-03-15,0.15308
2020-03-16,0.14102
2020-03-17,0.14694
2020-03-18,0.1476
2020-03-19,0.1646
2020-03-20,0.15695
2020-03-21,0.15797
2020-03-22,0.14776
2020-03-23,0.15854
2020-03-24,0.16225
2020-03-25,0.16168
2020-03-26,0.17593
2020-03-27,0.17269
2020-03-28,0.17543
2020-03-29,0.16278
2020-03-30,0.17112
2020-03-31,0.17353
2020-04-01,0.17494
2020-04-02,0.17828
2020-04-03,0.17957
2020-04-04,0.18114
2020-04-05,0.17925
2020-04-06,0.19803
2020-04-07,0.19285
2020-04-08,0.20192
2020-04-09,0.19829
2020-04-10,0.18758
2020-04-11,0.1885
2020-04-12,0.18939
2020-04-13,0.18763
2020-04-14,0.18613
2020-04-15,0.1805
2020-04-16,0.19053
2020-04-17,0.18863
2020-04-18,0.19544
2020-04-19,0.18901
2020-04-20,0.18151
2020-04-21,0.18341
2020-04-22,0.18804
2020-04-23,0.1926
2020-04-24,0.19325
2020-04-25,0.19418
2020-04-26,0.19618
2020-04-27,0.19747
2020-04-28,0.21416
2020-04-29,0.22648
2020-04-30,0.21135
2020-05-01,0.21786
2020-05-02,0.22369
2020-05-03,0.21936
2020-05-04,0.21776
2020-05-05,0.21688
2020-05-06,0.21158
2020-05-07,0.21862
2020-05-08,0.21865
2020-05-09,0.21642
2020-05-10,0.19702
2020-05-11,0.19254
2020-05-12,0.19711
2020-05-13,0.20177
2020-05-14,0.20386
2020-05-15,0.19818
2020-05-16,0.19969
2020-05-17,0.20131
2020-05-18,0.20543
2020-05-19,0.20496
2020-05-20,0.20179
2020-05-21,0.19434
2020-05-22,0.20034
2020-05-23,0.19883
2020-05-24,0.19256
2020-05-25,0.19622
2020-05-26,0.19372
2020-05-27,0.19791
2020-05-28,0.20052
2020-05-29,0.19759
2020-05-30,0.20701
2020-05-31,0.20245
2020-06-01,0.211
2020-06-02,0.20301
2020-06-03,0.2041
2020-06-04,0.20427
2020-06-05,0.20274
2020-06-06,0.20361
2020-06-07,0.20329
2020-06-08,0.20403
2020-06-09,0.20127
2020-06-10,0.20266
2020-06-11,0.18817
2020-06-12,0.19307
2020-06-13,0.19234
2020-06-14,0.19022
2020-06-15,0.19238
2020-06-16,0.19238
2020-06-17,0.19315
2020-06-18,0.18975
2020-06-19,0.18722
2020-06-20,0.18792
2020-06-21,0.18602
2020-06-22,0.18928
2020-06-23,0.18889
2020-06-24,0.18348
2020-06-25,0.18156
2020-06-26,0.18249
2020-06-27,0.17509
2020-06-28,0.17693
2020-06-29,0.17726
2020-06-30,0.17533
2020-07-01,0.17647
2020-07-02,0.17477
2020-07-03,0.1762
2020-07-04,0.17808
2020-07-05,0.17695
2020-07-06,0.18875
2020-07-07,0.18508
2020-07-08,0.20551
2020-07-09,0.20263
2020-07-10,0.19909
2020-07-11,0.2011
2020-07-12,0.20128
2020-07-13,0.19867
